Date,Close,Changes,ChangesRatio,Open,High,Low,Volume,Amount,Marcap
2016/06/30,"1,970.35",13.99,0.72,"1,971.54","1,972.81","1,959.28","349,863","5,326,567,212,348","1,250,198,141,816,260"
2016/07/01,"1,987.32",16.97,0.86,"1,977.36","1,993.98","1,975.89","448,128","4,325,444,164,154","1,261,236,963,863,310"
2016/07/04,"1,995.30",7.98,0.4,"1,989.44","1,997.37","1,985.11","468,611","4,150,962,808,551","1,266,629,650,904,530"
2016/07/05,"1,989.85",-5.45,-0.27,"1,995.69","1,996.77","1,985.94","405,487","3,951,492,434,584","1,263,270,454,206,767"
2016/07/06,"1,953.12",-36.73,-1.85,"1,980.11","1,982.80","1,944.33","457,439","4,764,743,807,356","1,239,376,225,063,882"
2016/07/07,"1,974.08",20.96,1.07,"1,963.30","1,976.49","1,959.83","378,755","3,936,372,445,940","1,252,748,245,214,441"
2016/07/08,"1,963.10",-10.98,-0.56,"1,972.28","1,979.75","1,956.91","356,527","4,315,295,452,195","1,245,831,577,055,614"
2016/07/11,"1,988.54",25.44,1.3,"1,979.36","1,990.95","1,977.81","337,764","4,384,854,023,254","1,262,792,040,320,358"
2016/07/12,"1,991.23",2.69,0.14,"1,991.13","1,998.03","1,986.45","432,650","4,485,332,767,600","1,263,991,200,000,173"
2016/07/13,"2,005.55",14.32,0.72,"2,007.65","2,013.60","1,995.84","357,643","4,743,547,543,296","1,273,883,223,302,966"
2016/07/14,"2,008.77",3.22,0.16,"2,004.12","2,009.67","1,997.94","340,227","4,318,864,088,671","1,276,284,573,087,017"
2016/07/15,"2,017.26",8.49,0.42,"2,015.37","2,022.34","2,011.10","477,808","4,640,271,877,303","1,285,347,839,174,708"
2016/07/18,"2,021.11",3.85,0.19,"2,018.22","2,022.11","2,012.30","380,092","3,569,171,374,172","1,287,818,134,648,376"
2016/07/19,"2,016.89",-4.22,-0.21,"2,022.80","2,023.22","2,010.27","380,798","3,766,201,195,280","1,285,044,647,659,450"
2016/07/20,"2,015.46",-1.43,-0.07,"2,013.40","2,015.47","2,003.87","316,336","3,541,334,296,307","1,284,410,623,826,391"
2016/07/21,"2,012.22",-3.24,-0.16,"2,019.36","2,020.55","2,007.59","391,049","3,921,399,661,415","1,282,299,381,908,063"
2016/07/22,"2,010.34",-1.88,-0.09,"2,005.37","2,014.44","2,002.66","320,954","3,866,947,697,533","1,280,788,528,877,836"
2016/07/25,"2,012.32",1.98,0.1,"2,014.74","2,020.69","2,006.63","350,231","4,053,086,564,278","1,281,905,615,556,579"
